id_diagnotisco;codigo;descripcion;id_tipo_origen;aplica_sexo
99;A202;PESTE NEUMONICA;4;A
100;A203;MENINGITIS POR PESTE;4;A
101;A207;PESTE SEPTICEMICA;4;A
102;A208;OTRAS FORMAS DE PESTE;4;A
103;A209;PESTE, NO ESPECIFICADA;4;A
104;A210;TULAREMIA ULCEROGLANDULAR;4;A
105;A211;TULAREMIA OCULOGLANDULAR;4;A
106;A212;TULAREMIA PULMONAR;4;A
107;A213;TULAREMIA GASTROINTESTINAL;4;A
108;A217;TULAREMIA GENERALIZADA;4;A
109;A218;OTRAS FORMAS DE TULAREMIA;4;A
110;A219;TULAREMIA , NO ESPECIFICADA;4;A
111;A220;CARBUNCO CUTANEO;4;A
112;A221;CARBUNCO PULMONAR;4;A
113;A222;CARBUNCO GASTROINTESTINAL;4;A
114;A227;CARBUNCO SEPTICEMICO;4;A
115;A228;OTRAS FORMAS DE CARBUNCO;4;A
116;A229;CARBUNCO, NO ESPECIFICADO;4;A
117;A230;BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS;4;A
118;A231;BRUCELOSIS DEBIDA A BRUCELLA ABORTUS;4;A
119;A232;BRUCELOSIS DEBIDA A BRUCELLA SUIS;4;A
120;A233;BRUCELOSIS DEBIDA A BRUCELLA CANIS;4;A
121;A238;OTRAS BRUCELOSIS;4;A
122;A239;BRUCELOSIS, NO ESPECIFICADA;4;A
123;A240;MUERMO;4;A
124;A241;MELIOIDOSIS AGUDA Y FULMINANTE;4;A
125;A242;MELIOIDOSIS SUBAGUDA Y CRONICA;4;A
126;A243;OTRAS MELIOIDOSIS;4;A
127;A244;MELIOIDOSIS , NO ESPECIFICADA;4;A
128;A250;ESPIRILOSIS;4;A
129;A251;ESTREPTOBACILOSIS;4;A
130;A259;FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA;4;A
131;A260;ERISIPELOIDE CUTANEO;4;A
132;A267;SEPTICEMIA POR ERYSIPELOTHRIX;4;A
133;A268;OTRAS FORMAS DE ERISIPELOIDE;4;A
134;A269;ERISIPELOIDE, NO ESPECIFICADA;4;A
135;A270;LEPTOSPIROSIS ICTEROHEMORRAGICA;4;A
136;A278;OTRAS FORMAS DE LEPTOSPIROSIS;4;A
137;A279;LEPTOSPIROSIS, NO ESPECIFICADA;4;A
138;A280;PASTEURELOSIS;4;A
139;A281;ENFERMEDAD POR RASGUÑO DE GATO;4;A
140;A282;YERSINIOSIS EXTRAINTESTINAL;4;A
141;A288;OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE;4;A
142;A289;ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION;4;A
143;A300;LEPRA INDETERMINADA;4;A
144;A301;LEPRA TUBERCULOIDE;4;A
145;A302;LEPRA TUBERCULOIDE LIMITROFE;4;A
146;A303;LEPRA LIMITROFE;4;A
147;A304;LEPRA LEPROMATOSA LIMITROFE;4;A
148;A305;LEPRA LEPROMATOSA;4;A
149;A308;OTRAS FORMAS DE LEPRA;4;A
150;A309;LEPRA, NO ESPECIFICADA;4;A
151;A310;INFECCIONES POR MICOBACTERIAS PULMONARES;4;A
152;A311;INFECCION CUTANEA POR MICOBACTERIAS;4;A
153;A318;OTRAS INFECCIONES POR MICOBACTERIAS;4;A
154;A319;INFECCION POR MICOBACTERIA, NO ESPECIFICADA;4;A
155;A320;LISTERIOSIS CUTANEA;4;A
156;A321;MENINGITIS Y MENINGOENCEFALITIS LISTERIANA;4;A
157;A327;SEPTICEMIA LISTERIANA;4;A
158;A328;OTRAS FORMAS DE LISTERIOSIS;4;A
159;A329;LISTERIOSIS, NO ESPECIFICADA;4;A
160;A33;TETANOS NEONATAL;4;A
161;A34;TETANOS OBSTETRICO;4;A
162;A35;OTROS TETANOS;4;A
163;A360;DIFTERIA FARINGEA;4;A
164;A361;DIFTERIA NASOFARINGEA;4;A
165;A362;DIFTERIA LARINGEA;4;A
166;A363;DIFTERIA CUTANEA;4;A
167;A368;OTRAS DIFTERIAS;4;A
168;A369;DIFTERIA, NO ESPECIFICADA;4;A
169;A370;TOS FERINA DEBIDA A BORDETELLA PERTUSSIS;4;A
170;A371;TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS;4;A
171;A378;TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA;4;A
172;A379;TOS FERINA, NO ESPECIFICADA;4;A
173;A38;ESCARLATINA;4;A
174;A390;MENINGITIS MENINGOCOCICA (G01*);4;A
175;A391;SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*);4;A
176;A392;MENINGOCOCEMIA AGUDA;4;A
177;A393;MENINGOCOCEMIA CRONICA;4;A
178;A394;MENINGOCOCEMIA, NO ESPECIFICADA;4;A
179;A395;ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO;4;A
180;A398;OTRAS INFECCIONES MENINGOCOCICAS;4;A
181;A399;INFECCION MENINGOCOCICA, NO ESPECIFICADA;4;A
182;A400;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A;4;A
183;A401;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B;4;A
184;A402;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D;4;A
185;A403;SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE;4;A
186;A408;OTRAS SEPTICEMIAS ESTREPTOCOCICAS;4;A
187;A409;SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA;4;A
188;A410;SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS;4;A
189;A411;SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO;4;A
190;A412;SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO;4;A
191;A413;SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE;4;A
192;A414;SEPTICEMIA DEBIDA A ANAEROBIOS;4;A
193;A415;SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS;4;A
194;A418;OTRAS SEPTICEMIAS ESPECIFICADAS;4;A
195;A419;SEPTICEMIA, NO ESPECIFICADA;4;A
196;A420;ACTINOMICOSIS PULMONAR;4;A
197;A421;ACTINOMICOSIS ABDOMINAL;4;A
198;A422;ACTINOMICOSIS CERVICOFACIAL;4;A
199;A427;SEPTICEMIA ACTINOMICOTICA;4;A
200;A428;OTRAS FORMAS DE ACTINOMICOSIS;4;A
201;A429;ACTINOMICOSIS, SIN OTRA ESPECIFICACION;4;A
202;A430;NOCARDIOSIS PULMONAR;4;A
203;A431;NOCARDIOSIS CUTANEA;4;A
204;A438;OTRAS FORMAS DE NOCARDIOSIS;4;A
205;A439;NORCARDIOSIS , NO ESPECIFICADA;4;A
206;A440;BARTONELOSIS SISTEMICA;4;A
207;A441;BARTONELOSIS CUTANEA Y MUCOCUTANEA;4;A
208;A448;OTRAS FORMAS DE BARTONELOSIS;4;A
209;A449;BARTONELOSIS, NO ESPECIFICADA;4;A
210;A46;ERISIPELA;4;A
211;A480;GANGRENA GASEOSA;4;A
212;A481;ENFERMEDAD DE LOS LEGIONARIOS;4;A
213;A482;ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC];4;A
214;A483;SINDROME DE CHOQUE TOXICO;4;A
215;A484;FIEBRE PURPURICA BRASILEÑA;4;A
216;A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS;4;A
217;A490;INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN;4;A
218;A491;INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION;4;A
219;A492;INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION;4;A
220;A493;INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION;4;A
221;A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO;4;A
222;A499;INFECCION BACTERIANA, NO ESPECIFICADA;4;A
223;A500;SIFILIS CONGENITA PRECOZ, SINTOMATICA;4;A
224;A501;SIFILIS CONGENITA PRECOZ, LATENTE;4;A
225;A502;SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACIÓN;4;A
226;A503;OCULOPATIA SIFILITICA CONGENITA TARDIA;4;A
227;A504;NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL];4;A
228;A505;OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA;4;A
229;A506;SIFILIS CONGENITA TARDIA, LATENTE;4;A
230;A507;SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION;4;A
231;A509;SIFILIS CONGENITA, SIN OTRA ESPECIFICACIÓN;4;A
232;A510;SIFILIS GENITAL PRIMARIA;4;A
233;A511;SIFILIS PRIMARIA ANAL;4;A
234;A512;SIFILIS PRIMARIA EN OTROS SITIOS;4;A
235;A513;SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS;4;A
236;A514;OTRAS SIFILIS SECUNDARIAS;4;A
237;A515;SIFILIS PRECOZ, LATENTE;4;A
238;A519;SIFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN;4;A
239;A520;SIFILIS CARDIOVASCULAR;4;A
240;A521;NEUROSIFILIS SINTOMATICA;4;A
241;A522;NEUROSIFILIS ASINTOMATICA;4;A
242;A523;NEUROSIFILIS NO ESPECIFICADA;4;A
243;A527;OTRAS SIFILIS TARDIAS SINTOMATICAS;4;A
244;A528;SIFILIS TARDIA, LATENTE;4;A
245;A529;SIFILIS TARDIA, NO ESPECIFICADA;4;A
246;A530;SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA;4;A
247;A539;SIFILIS, NO ESPECIFICADA;4;A
248;A540;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA;4;A
249;A541;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS;4;A
250;A542;PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS;4;A
251;A543;INFECCION GONOCOCICA DEL OJO;4;A
252;A544;INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR;4;A
253;A545;FARINGITIS GONOCOCICA;4;A
254;A546;INFECCION GONOCOCICA DEL ANO Y DEL RECTO;4;A
255;A548;OTRAS INFECCIONES GONOCOCICAS;4;A
256;A549;INFECCION, GONOCOCICA, NO ESPECIFICADA;4;A
257;A55;LINFOGRANULOMA (VENEREO) POR CLAMIDIAS;4;A
258;A560;INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS;4;A
259;A561;INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS;4;A
260;A562;INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACION;4;A
261;A563;INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS;4;A
262;A564;INFECCION DE FARINGE DEBIDA A CLAMIDIAS;4;A
263;A568;INFECCION DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS;4;A
264;A57;CHANCRO BLANDO;4;A
265;A58;GRANULOMA INGUINAL;4;A
266;A590;TRICOMONIASIS UROGENITAL;4;A
