id;id_tarifario;codigo_compuesto;codigo_simple
1017;1;870601;890810
1018;1;892001;890810
1019;1;586200;890810
1020;1;586300;890810
1021;1;609500;890810
1022;1;893802;890810
1023;1;893702;890810
1024;1;893701;890810
1025;1;874125;890810
1026;1;874134;890810
1027;1;878111;890810
1028;1;872202;890810
1029;1;878211;890810
1030;1;876131;890810
1031;1;C40555;890810
1032;1;C40705;890810
1033;1;C40556;890810
1034;1;C40820;890810
1035;1;C40550;890810
1036;1;895201;890810
1037;1;881236;890810
1038;1;370100;890810
1039;1;389103;890810
1040;1;876212;890810
1041;1;372200;890810
1042;1;372300;890810
1043;1;372400;890810
1044;1;876121;890810
1045;1;876122;890810
1046;1;876120;890810
1047;1;360101;890810
1048;1;360201;890810
1049;1;360102;890810
1050;1;360500;890810
1051;1;360600;890810
1052;1;350100;890810
1053;1;350300;890810
1054;1;350200;890810
1055;1;350400;890810
1056;1;360401;890810
1057;1;895903;890810
1058;1;358303;890810
1059;1;355102;890810
1060;1;354200;890810
1061;1;358710;890810
1062;1;372501;890810
1063;1;372101;890810
1064;1;372301;890810
1065;1;372401;890810
1066;1;895001;890810
1067;1;996101;890810
1068;1;377800;890810
1069;1;378200;890810
1070;1;378300;890810
1071;1;378900;890810
1072;1;379900;890810
1073;1;378500;890810
1074;1;379500;890810
1075;1;373401;890810
1076;1;373402;890810
1077;1;894103;890810
1078;1;895910;890810
1079;1;895300;890810
1080;1;891703;890810
1081;1;954301;890810
1082;1;930820;890810
1083;1;911202;890810
1084;1;911201;890810
1085;1;893902;890810
1086;1;933600;890810
1087;1;752100;890810
1088;1;S11101;890810
1089;1;S11102;890810
1090;1;S11103;890810
1091;1;S11104;890810
1092;1;S11201;890810
1093;1;S11202;890810
1094;1;S11203;890810
1095;1;S11204;890810
1096;1;S11301;890810
1097;1;S11302;890810
1098;1;S11303;890810
1099;1;S11304;890810
1100;1;S12500;890810
1101;1;S12600;890810
1102;1;S12201;890810
1103;1;S12202;890810
1104;1;S12203;890810
1105;1;S12301;890810
1106;1;S12302;890810
1107;1;S12400;890810
1108;1;S12401;890810
1109;1;S12402;890810
1110;1;S12710;890810
1111;1;S12711;890810
1112;1;S12712;890810
1113;1;S12713;890810
1114;1;S12720;890810
1115;1;S12721;890810
1116;1;S12722;890810
1117;1;S12723;890810
1118;1;S12740;890810
1119;1;S12741;890810
1120;1;S12742;890810
1121;1;S12743;890810
1122;1;S12750;890810
1123;1;S12751;890810
1124;1;S12752;890810
1125;1;S12753;890810
1126;1;S12101;890810
1127;1;S12102;890810
1128;1;S12103;890810
1129;1;10101;890810
1130;1;10102;890810
1131;1;10202;890810
1132;1;10901;890810
1133;1;11201;890810
1134;1;11302;890810
1135;1;11303;890810
1136;1;11304;890810
1137;1;12100;890810
1138;1;12101;890810
1139;1;12401;890810
1140;1;12402;890810
1141;1;12410;890810
1142;1;12501;890810
1143;1;12502;890810
1144;1;12503;890810
1145;1;13101;890810
1146;1;13102;890810
1147;1;13103;890810
1148;1;13104;890810
1149;1;13105;890810
1150;1;13106;890810
1151;1;13110;890810
1152;1;13201;890810
1153;1;13202;890810
1154;1;14101;890810
1155;1;14201;890810
1156;1;15101;890810
1157;1;15102;890810
1158;1;15104;890810
1159;1;15201;890810
1160;1;15202;890810
1161;1;15203;890810
1162;1;15204;890810
1163;1;15301;890810
1164;1;15302;890810
1165;1;15304;890810
1166;1;15305;890810
1167;1;15306;890810
1168;1;15307;890810
1169;1;15308;890810
1170;1;15309;890810
1171;1;15310;890810
1172;1;15311;890810
1173;1;15401;890810
1174;1;15402;890810
1175;1;15403;890810
1176;1;15404;890810
1177;1;15405;890810
1178;1;15406;890810
1179;1;15407;890810
1180;1;15408;890810
1181;1;15409;890810
1182;1;16101;890810
1183;1;16102;890810
1184;1;16201;890810
1185;1;16301;890810
1186;1;16401;890810
1187;1;17001;890810
1188;1;17002;890810
1189;1;17004;890810
1190;1;17005;890810
1191;1;17201;890810
1192;1;17202;890810
1193;1;17204;890810
1194;1;17209;890810
1195;1;17301;890810
1196;1;17303;890810
1197;1;17401;890810
1198;1;17501;890810
1199;1;17504;890810
1200;1;17505;890810
1201;1;17508;890810
1202;1;17509;890810
1203;1;17601;890810
1204;1;17701;890810
1205;1;17801;890810
1206;1;17805;890810
1207;1;18101;890810
1208;1;18201;890810
1209;1;19100;890810
1210;1;19200;890810
1211;1;20101;890810
1212;1;20102;890810
1213;1;20103;890810
1214;1;20104;890810
1215;1;20105;890810
1216;1;20106;890810
1217;1;20107;890810
1218;1;20108;890810
1219;1;20201;890810
1220;1;20202;890810
1221;1;20203;890810
1222;1;20204;890810
1223;1;20401;890810
1224;1;20500;890810
1225;1;20601;890810
1226;1;21101;890810
1227;1;21102;890810
1228;1;21103;890810
1229;1;21104;890810
1230;1;21201;890810
1231;1;21202;890810
1232;1;21203;890810
1233;1;21204;890810
1234;1;21205;890810
1235;1;21206;890810
1236;1;21207;890810
1237;1;21208;890810
1238;1;21209;890810
1239;1;21210;890810
1240;1;21211;890810
1241;1;21212;890810
1242;1;21213;890810
1243;1;21214;890810
1244;1;22101;890810
1245;1;22201;890810
1246;1;22202;890810
1247;1;22300;890810
1248;1;23201;890810
1249;1;23401;890810
1250;1;23402;890810
1251;1;23500;890810
1252;1;24100;890810
1253;1;24201;890810
1254;1;24202;890810
1255;1;24300;890810
1256;1;25000;890810
1257;1;28201;890810
1258;1;28202;890810
1259;1;28203;890810
1260;1;28301;890810
1261;1;28302;890810
1262;1;28303;890810
1263;1;28304;890810
1264;1;28601;890810
1265;1;30101;890810
1266;1;30102;890810
1267;1;30103;890810
1268;1;30201;890810
1269;1;30202;890810
1270;1;30203;890810
1271;1;30207;890810
1272;1;30401;890810
1273;1;30402;890810
1274;1;32100;890810
1275;1;32200;890810
1276;1;32301;890810
1277;1;32400;890810
1278;1;33200;890810
1279;1;33201;890810
1280;1;34201;890810
1281;1;34202;890810
1282;1;34203;890810
1283;1;34204;890810
1284;1;34205;890810
1285;1;34206;890810
1286;1;34301;890810
1287;1;34302;890810
1288;1;34303;890810
1289;1;34304;890810
1290;1;34305;890810
1291;1;34401;890810
