ID;FK_TARIFARIO;COD_ARTICULO;PARAGRAFO;FK_CODIGO_CUPS;DESCRIPCION;TIPO_PARAGRAFO
221;1;1;aplica 1;40101;Procedimiento No aplica para la Edad o Sexo.;edad
222;1;1;aplica 1;40102;Procedimiento No aplica para la Edad o Sexo.;edad
223;1;1;aplica 1;40103;Procedimiento No aplica para la Edad o Sexo.;edad
224;1;1;aplica 1;40104;Procedimiento No aplica para la Edad o Sexo.;edad
225;1;1;aplica 1;40200;Procedimiento No aplica para la Edad o Sexo.;edad
226;1;1;aplica 1;40301;Procedimiento No aplica para la Edad o Sexo.;edad
227;1;1;aplica 1;40705;Procedimiento No aplica para la Edad o Sexo.;edad
228;1;1;aplica 1;40706;Procedimiento No aplica para la Edad o Sexo.;edad
229;1;1;aplica 1;40707;Procedimiento No aplica para la Edad o Sexo.;edad
230;1;1;aplica 1;40708;Procedimiento No aplica para la Edad o Sexo.;edad
231;1;1;aplica 1;40709;Procedimiento No aplica para la Edad o Sexo.;edad
232;1;1;aplica 1;40710;Procedimiento No aplica para la Edad o Sexo.;edad
233;1;1;aplica 1;40711;Procedimiento No aplica para la Edad o Sexo.;edad
234;1;1;aplica 1;40712;Procedimiento No aplica para la Edad o Sexo.;edad
235;1;1;aplica 1;40730;Procedimiento No aplica para la Edad o Sexo.;edad
236;1;1;aplica 1;41101;Procedimiento No aplica para la Edad o Sexo.;edad
237;1;1;aplica 1;41200;Procedimiento No aplica para la Edad o Sexo.;edad
238;1;1;aplica 1;42101;Procedimiento No aplica para la Edad o Sexo.;edad
239;1;1;aplica 1;42102;Procedimiento No aplica para la Edad o Sexo.;edad
240;1;1;aplica 1;42201;Procedimiento No aplica para la Edad o Sexo.;edad
241;1;1;aplica 1;42202;Procedimiento No aplica para la Edad o Sexo.;edad
242;1;1;aplica 1;42301;Procedimiento No aplica para la Edad o Sexo.;edad
243;1;1;aplica 1;42302;Procedimiento No aplica para la Edad o Sexo.;edad
244;1;1;aplica 1;42303;Procedimiento No aplica para la Edad o Sexo.;edad
245;1;1;aplica 1;42304;Procedimiento No aplica para la Edad o Sexo.;edad
246;1;1;aplica 1;42305;Procedimiento No aplica para la Edad o Sexo.;edad
247;1;1;aplica 1;42306;Procedimiento No aplica para la Edad o Sexo.;edad
