id;id_tarifario;codigo_cups;codigo_diagnostico
331;1;778931;D128
332;1;778931;D129
333;1;778931;D130
334;1;778931;D131
335;1;778931;D132
336;1;778931;D133
337;1;778931;D134
338;1;778931;D135
339;1;778931;D136
340;1;778931;D137
341;1;778931;D139
342;1;778931;D140
343;1;778931;D141
344;1;778931;D142
345;1;778931;D143
346;1;778931;D144
347;1;778931;D150
348;1;778931;D151
349;1;778931;D152
350;1;778931;D157
351;1;778931;D159
352;1;778931;D160
353;1;778931;D161
354;1;778931;D162
355;1;778931;D163
356;1;778931;D164
357;1;778931;D165
358;1;778931;D166
359;1;778931;D167
360;1;778931;D168
361;1;778931;D169
362;1;778931;D170
363;1;778931;D171
364;1;778931;D172
365;1;778931;D173
366;1;778931;D174
367;1;778931;D175
368;1;778931;D176
369;1;778931;D177
370;1;778931;D179
371;1;778931;D190
372;1;778931;D191
373;1;778931;D197
374;1;778931;D199
375;1;778931;D200
376;1;778931;D201
377;1;778931;D210
378;1;778931;D211
379;1;778931;D212
380;1;778931;D213
381;1;778931;D214
382;1;778931;D215
383;1;778931;D216
384;1;778931;D219
385;1;778931;D230
386;1;778931;D231
387;1;778931;D232
388;1;778931;D233
389;1;778931;D234
390;1;778931;D235
391;1;778931;D236
392;1;778931;D237
393;1;778931;D239
394;1;778931;D24
395;1;778931;D260
396;1;778931;D261
397;1;778931;D267
398;1;778931;D269
399;1;778931;D27
400;1;778931;D280
401;1;778931;D281
402;1;778931;D282
403;1;778931;D287
404;1;778931;D289
405;1;778931;D290
406;1;778931;D291
407;1;778931;D292
408;1;778931;D293
409;1;778931;D294
410;1;778931;D297
411;1;778931;D299
412;1;778931;D300
413;1;778931;D301
414;1;778931;D302
415;1;778931;D303
416;1;778931;D304
417;1;778931;D307
418;1;778931;D309
419;1;778931;D310
420;1;778931;D311
421;1;778931;D312
422;1;778931;D313
423;1;778931;D314
424;1;778931;D315
425;1;778931;D316
426;1;778931;D319
427;1;778931;D320
428;1;778931;D321
429;1;778931;D329
430;1;778931;D330
431;1;778931;D331
432;1;778931;D332
433;1;778931;D333
434;1;778931;D334
435;1;778931;D337
436;1;778931;D339
437;1;778931;D34
438;1;778931;D350
439;1;778931;D351
440;1;778931;D352
441;1;778931;D353
442;1;778931;D354
443;1;778931;D355
444;1;778931;D356
445;1;778931;D357
446;1;778931;D358
447;1;778931;D359
448;1;778931;D360
449;1;778931;D361
450;1;778931;D367
451;1;778931;D369
452;1;778931;D370
453;1;778931;D371
454;1;778931;D372
455;1;778931;D373
456;1;778931;D374
457;1;778931;D375
458;1;778931;D376
459;1;778931;D377
460;1;778931;D379
461;1;778931;D380
462;1;778931;D381
463;1;778931;D382
464;1;778931;D383
465;1;778931;D384
466;1;778931;D385
467;1;778931;D386
468;1;778931;D390
469;1;778931;D391
470;1;778931;D392
471;1;778931;D397
472;1;778931;D399
473;1;778931;D400
474;1;778931;D401
475;1;778931;D407
476;1;778931;D409
477;1;778931;D410
478;1;778931;D411
479;1;778931;D412
480;1;778931;D413
481;1;778931;D414
482;1;778931;D417
483;1;778931;D419
484;1;778931;D420
485;1;778931;D421
486;1;778931;D429
487;1;778931;D430
488;1;778931;D431
489;1;778931;D432
490;1;778931;D433
491;1;778931;D434
492;1;778931;D437
493;1;778931;D439
494;1;778931;D440
495;1;778931;D441
496;1;778931;D442
497;1;778931;D443
498;1;778931;D444
499;1;778931;D445
500;1;778931;D446
501;1;778931;D447
502;1;778931;D448
503;1;778931;D449
504;1;778931;D470
505;1;778931;D477
506;1;778931;D479
507;1;778931;D480
508;1;778931;D481
509;1;778931;D482
510;1;778931;D483
511;1;778931;D484
512;1;778931;D485
513;1;778931;D486
514;1;778931;D487
515;1;778931;D489
516;1;778931;O341
517;1;778931;Z031
518;1;778931;Z080
519;1;778931;Z081
520;1;778931;Z082
521;1;778931;Z087
522;1;778931;Z088
523;1;778931;Z089
524;1;778931;Z120
525;1;778931;Z121
526;1;778931;Z122
527;1;778931;Z123
528;1;778931;Z124
529;1;778931;Z125
530;1;778931;Z126
531;1;778931;Z128
532;1;778931;Z129
533;1;778931;Z400
534;1;778931;Z511
