id;id_tarifario;codigo_cups;rango_desde;rango_hasta
18530;5;7401;0;150
18531;5;7402;0;150
18532;5;7403;0;150
18533;5;7501;0;150
18534;5;7510;0;150
18535;5;7601;0;150
18536;5;7610;0;150
18537;5;7620;0;150
18538;5;7621;0;150
18539;5;7622;0;150
18540;5;7630;0;150
18541;5;7640;0;150
18542;5;7641;0;150
18543;5;7650;0;150
18544;5;7660;0;150
18545;5;7661;0;150
18546;5;7662;0;150
18547;5;7663;0;150
18548;5;7701;0;150
18549;5;7702;0;150
18550;5;7710;0;150
18551;5;7711;0;150
18552;5;7712;0;150
18553;5;7720;0;150
18554;5;7721;0;150
18555;5;7722;0;150
18556;5;7723;0;150
18557;5;7724;0;150
18558;5;7725;0;150
18559;5;7730;0;150
18560;5;7740;0;150
18561;5;7741;0;150
18562;5;7742;0;150
18563;5;7743;0;150
18564;5;7750;0;150
18565;5;7760;0;150
18566;5;7761;0;150
18567;5;7770;0;150
18568;5;7771;0;150
18569;5;7800;0;150
18570;5;8101;0;150
18571;5;8102;0;150
18572;5;8103;0;150
18573;5;8104;0;150
18574;5;8110;0;150
18575;5;8120;0;150
18576;5;8121;0;150
18577;5;8122;0;150
18578;5;8130;0;150
18579;5;8131;0;150
18580;5;8132;0;150
18581;5;8133;0;150
18582;5;8134;0;150
18583;5;8135;0;150
18584;5;8136;0;150
18585;5;8140;0;150
18586;5;8141;0;150
18587;5;8142;0;150
18588;5;8143;0;150
18589;5;8144;0;150
18590;5;8145;0;150
18591;5;8151;0;150
18592;5;8201;0;150
18593;5;8202;0;150
18594;5;8203;0;150
18595;5;8210;0;150
18596;5;8211;0;150
18597;5;8212;0;150
18598;5;8220;0;150
18599;5;8221;0;150
18600;5;8222;0;150
18601;5;8240;0;150
18602;5;8241;0;150
18603;5;8242;0;150
18604;5;8243;0;150
18605;5;8244;0;150
18606;5;8245;0;150
18607;5;8246;0;150
18608;5;8250;0;150
18609;5;8260;0;150
18610;5;8261;0;150
18611;5;9101;0;150
18612;5;9102;0;150
18613;5;9103;0;150
18614;5;9104;0;150
18615;5;9105;0;150
18616;5;9110;0;150
18617;5;9111;0;150
18618;5;9112;0;150
18619;5;9120;0;150
18620;5;9121;0;150
18621;5;9140;0;150
18622;5;9141;0;150
18623;5;9143;0;150
18624;5;9144;0;150
18625;5;9145;0;150
18626;5;9146;0;150
18627;5;9160;0;150
18628;5;9162;0;150
18629;5;9163;0;150
18630;5;9164;0;150
18631;5;9165;0;150
18632;5;9166;0;150
18633;5;9170;0;150
18634;5;9171;0;150
18635;5;9180;0;150
18636;5;9183;0;150
18637;5;9184;0;150
18638;5;9185;0;150
18639;5;9190;0;150
18640;5;9191;0;150
18641;5;9201;0;150
18642;5;9202;0;150
18643;5;9203;0;150
18644;5;9210;0;150
18645;5;9212;0;150
18646;5;9213;0;150
18647;5;9214;0;150
18648;5;9215;0;150
18649;5;9216;0;150
18650;5;9220;0;150
18651;5;9222;0;150
18652;5;9223;0;150
18653;5;9224;0;150
18654;5;9225;0;150
18655;5;9240;0;150
18656;5;9241;0;150
18657;5;9242;0;150
18658;5;9250;0;150
18659;5;9251;0;150
18660;5;9252;0;150
18661;5;9253;0;150
18662;5;9301;0;150
18663;5;9302;0;150
18664;5;9303;0;150
18665;5;9310;0;150
18666;5;9311;0;150
18667;5;9320;0;150
18668;5;9321;0;150
18669;5;9322;0;150
18670;5;9323;0;150
18671;5;9330;0;150
18672;5;9331;0;150
18673;5;9332;0;150
18674;5;9333;0;150
18675;5;9334;0;150
18676;5;9340;0;150
18677;5;9341;0;150
18678;5;9342;0;150
18679;5;9343;0;150
18680;5;9344;0;150
18681;5;9345;0;150
18682;5;9346;0;150
18683;5;9347;0;150
18684;5;9350;0;150
18685;5;9351;0;150
18686;5;9352;0;150
18687;5;9353;0;150
18688;5;9370;0;150
18689;5;9371;0;150
18690;5;9374;0;150
18691;5;9375;0;150
18692;5;9401;0;150
18693;5;9402;0;150
18694;5;9403;0;150
18695;5;9410;0;150
18696;5;9411;0;150
18697;5;9412;0;150
18698;5;9413;0;150
18699;5;9420;0;150
18700;5;9422;0;150
18701;5;9423;0;150
18702;5;9424;0;150
18703;5;9430;0;150
18704;5;9431;0;150
18705;5;9432;0;150
18706;5;9433;0;150
18707;5;9434;0;150
18708;5;9435;0;150
18709;5;9436;0;150
18710;5;9437;0;150
18711;5;9438;0;150
18712;5;9440;0;150
18713;5;9441;0;150
18714;5;9450;0;150
18715;5;9452;0;150
18716;5;9453;0;150
18717;5;9454;0;150
18718;5;9455;0;150
18719;5;9456;0;150
18720;5;9501;0;150
18721;5;9502;0;150
18722;5;9510;0;150
18723;5;9511;0;150
18724;5;9512;0;150
18725;5;9513;0;150
18726;5;9514;0;150
18727;5;9520;0;150
18728;5;9521;0;150
18729;5;9531;0;150
18730;5;9601;0;150
18731;5;9602;0;150
18732;5;9603;0;150
18733;5;9604;0;150
18734;5;9605;0;150
18735;5;9606;0;150
18736;5;9620;0;150
18737;5;9621;0;150
18738;5;9622;0;150
18739;5;9623;0;150
18740;5;9624;0;150
18741;5;9630;0;150
18742;5;9631;0;150
18743;5;9632;0;150
18744;5;9633;0;150
18745;5;9640;0;150
18746;5;9641;0;150
18747;5;9642;0;150
18748;5;9650;0;150
18749;5;9651;0;150
18750;5;9660;0;150
18751;5;9661;0;150
18752;5;9662;0;150
18753;5;9663;0;150
18754;5;9664;0;150
18755;5;9665;0;150
18756;5;9701;0;150
18757;5;9703;0;150
18758;5;9704;0;150
18759;5;9705;0;150
18760;5;9706;0;150
18761;5;9707;0;150
18762;5;9801;0;150
18763;5;9802;0;150
18764;5;9803;0;150
18765;5;9810;0;150
18766;5;9811;0;150
18767;5;9812;0;150
18768;5;9820;0;150
18769;5;9821;0;150
18770;5;9822;0;150
18771;5;9823;0;150
18772;5;9824;0;150
18773;5;9825;0;150
18774;5;9826;0;150
18775;5;9827;0;150
18776;5;9828;0;150
18777;5;9829;0;150
18778;5;9840;0;150
18779;5;9841;0;150
18780;5;9842;0;150
18781;5;9843;0;150
18782;5;10101;0;150
18783;5;10102;0;150
18784;5;10111;0;150
18785;5;10112;0;150
18786;5;10113;0;150
18787;5;10114;0;150
18788;5;10116;0;150
18789;5;10117;0;150
18790;5;10120;0;150
18791;5;10121;0;150
18792;5;11101;0;150
18793;5;11110;0;150
18794;5;11111;0;150
18795;5;11112;0;150
18796;5;11113;0;150
18797;5;11120;0;150
18798;5;11121;0;150
18799;5;11130;0;150
18800;5;11131;0;150
18801;5;11132;0;150
18802;5;11140;0;150
18803;5;11201;0;150
18804;5;11210;0;150
18805;5;11211;0;150
18806;5;11212;0;150
18807;5;11213;0;150
18808;5;11220;0;150
18809;5;11221;0;150
18810;5;11222;0;150
18811;5;11230;0;150
18812;5;11231;0;150
18813;5;11240;0;150
18814;5;11241;0;150
18815;5;11242;0;150
18816;5;11300;0;150
18817;5;11301;0;150
18818;5;11302;0;150
18819;5;11400;0;150
18820;5;11401;0;150
18821;5;11402;0;150
18822;5;11410;0;150
18823;5;11411;0;150
18824;5;11412;0;150
18825;5;11413;0;150
18826;5;11430;12;46
18827;5;11440;0;150
18828;5;11441;0;150
18829;5;11442;0;150
18830;5;11460;0;150
18831;5;11461;0;150
18832;5;11462;0;150
18833;5;11463;0;150
18834;5;11470;0;150
18835;5;11471;0;150
18836;5;11472;0;150
18837;5;11473;0;150
18838;5;11474;0;150
18839;5;11475;0;150
18840;5;11476;0;150
18841;5;11477;0;150
18842;5;11478;0;150
18843;5;11500;0;150
18844;5;11501;0;150
18845;5;11502;0;150
18846;5;11503;0;150
18847;5;11504;0;150
18848;5;11520;0;150
18849;5;11521;0;150
18850;5;11522;0;150
18851;5;11523;0;150
18852;5;11524;0;150
18853;5;11525;0;150
18854;5;11530;0;150
18855;5;11540;0;150
18856;5;11541;0;150
18857;5;11542;0;150
18858;5;11543;0;150
18859;5;11545;0;150
18860;5;11546;0;150
18861;5;11550;0;150
18862;5;11551;0;150
18863;5;11600;0;150
18864;5;11601;0;150
18865;5;11602;0;150
18866;5;11603;0;150
18867;5;11610;0;150
18868;5;11611;0;150
18869;5;11612;0;150
18870;5;11613;0;150
18871;5;11620;0;150
18872;5;11621;0;150
18873;5;11630;0;150
18874;5;11631;0;150
18875;5;11632;0;150
18876;5;11633;0;150
18877;5;11634;0;150
18878;5;11640;0;150
18879;5;11641;12;46
18880;5;11642;12;46
18881;5;12101;12;46
18882;5;12102;12;46
18883;5;12103;12;46
18884;5;12110;12;46
18885;5;12111;12;46
18886;5;12112;0;150
18887;5;12113;12;46
18888;5;13100;0;150
18889;5;13101;0;150
18890;5;13102;0;150
18891;5;13103;0;150
18892;5;13104;0;150
18893;5;13105;0;150
18894;5;13110;0;150
18895;5;13111;0;150
18896;5;13112;0;150
18897;5;13113;0;150
18898;5;13120;0;150
18899;5;13121;0;150
18900;5;13122;0;150
18901;5;13123;0;150
18902;5;13124;0;150
18903;5;13130;0;150
18904;5;13131;0;150
18905;5;13132;0;150
18906;5;13140;0;150
18907;5;13141;0;150
18908;5;13142;0;150
18909;5;13143;0;150
18910;5;13144;0;150
18911;5;13145;0;150
18912;5;13146;0;150
18913;5;13147;0;150
18914;5;13148;0;150
18915;5;13149;0;150
18916;5;13150;0;150
18917;5;13151;0;150
18918;5;13152;0;150
18919;5;13160;0;150
18920;5;13161;0;150
18921;5;13162;0;150
18922;5;13170;0;150
18923;5;13171;0;150
18924;5;13180;0;150
18925;5;13181;0;150
18926;5;13182;0;150
18927;5;13190;0;150
18928;5;13200;0;150
18929;5;13211;0;150
18930;5;13212;0;150
18931;5;13220;0;150
18932;5;13221;0;150
18933;5;13230;0;150
18934;5;13231;0;150
18935;5;13232;0;150
18936;5;13233;0;150
18937;5;13240;0;150
18938;5;13241;0;150
18939;5;13242;0;150
18940;5;13243;0;150
18941;5;13244;0;150
18942;5;13250;0;150
18943;5;13251;0;150
18944;5;13252;0;150
18945;5;13260;0;150
18946;5;13261;0;150
18947;5;13262;0;150
18948;5;13270;0;150
18949;5;13271;0;150
18950;5;13272;0;150
18951;5;13273;0;150
18952;5;13280;0;150
18953;5;13281;0;150
18954;5;13282;0;150
18955;5;13290;0;150
18956;5;13300;0;150
18957;5;13310;0;150
18958;5;13311;0;150
18959;5;13312;0;150
18960;5;13320;0;150
18961;5;13321;0;150
18962;5;13340;0;150
18963;5;13341;0;150
18964;5;13342;0;150
18965;5;13343;0;150
18966;5;13350;0;150
18967;5;13360;0;150
18968;5;13370;0;150
18969;5;13371;0;150
18970;5;13380;0;150
18971;5;13381;0;150
18972;5;13400;0;150
18973;5;13401;0;150
18974;5;13410;0;150
18975;5;13411;0;150
18976;5;13412;0;150
18977;5;13413;0;150
18978;5;13420;0;150
18979;5;13421;0;150
18980;5;13422;0;150
18981;5;13430;0;150
18982;5;13440;0;150
18983;5;13441;0;150
18984;5;13442;0;150
18985;5;13443;0;150
18986;5;13444;0;150
18987;5;13445;0;150
18988;5;13450;0;150
18989;5;13451;0;150
18990;5;13461;0;150
18991;5;13470;0;150
18992;5;13471;0;150
18993;5;13472;0;150
18994;5;13480;0;150
18995;5;13481;0;150
18996;5;13500;0;150
18997;5;13501;0;150
18998;5;13502;0;150
18999;5;13503;0;150
19000;5;13510;0;150
19001;5;13511;0;150
19002;5;13512;0;150
19003;5;13513;0;150
19004;5;13520;0;150
19005;5;13521;0;150
19006;5;13522;0;150
19007;5;13523;0;150
19008;5;13524;0;150
19009;5;13525;0;150
19010;5;13530;0;150
19011;5;13540;0;150
19012;5;13541;0;150
19013;5;13542;0;150
19014;5;13543;0;150
19015;5;13544;0;150
19016;5;13545;0;150
19017;5;13546;0;150
19018;5;13547;0;150
19019;5;13548;0;150
19020;5;13549;0;150
19021;5;13550;0;150
19022;5;13551;0;150
19023;5;13552;0;150
19024;5;13553;0;150
19025;5;13554;0;150
19026;5;13555;0;150
19027;5;13556;0;150
19028;5;13557;0;150
19029;5;13558;0;150
19030;5;13560;0;150
19031;5;13561;0;150
19032;5;13562;0;150
19033;5;13563;0;150
19034;5;13564;0;150
19035;5;13565;0;150
19036;5;13570;0;150
19037;5;13571;0;150
19038;5;13572;0;150
19039;5;13573;0;150
19040;5;13574;0;150
