pk_id_diagnostisco;pk_codido_diagnostico;descripcion_diagnostico;fk_id_tipo_origen;aplica_sexo
125;A242;MELIOIDOSIS SUBAGUDA Y CRONICA;4;Ambos
126;A243;OTRAS MELIOIDOSIS;4;Ambos
127;A244;MELIOIDOSIS , NO ESPECIFICADA;4;Ambos
128;A250;ESPIRILOSIS;4;Ambos
129;A251;ESTREPTOBACILOSIS;4;Ambos
130;A259;FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA;4;Ambos
131;A260;ERISIPELOIDE CUTANEO;4;Ambos
132;A267;SEPTICEMIA POR ERYSIPELOTHRIX;4;Ambos
133;A268;OTRAS FORMAS DE ERISIPELOIDE;4;Ambos
134;A269;ERISIPELOIDE, NO ESPECIFICADA;4;Ambos
135;A270;LEPTOSPIROSIS ICTEROHEMORRAGICA;4;Ambos
136;A278;OTRAS FORMAS DE LEPTOSPIROSIS;4;Ambos
137;A279;LEPTOSPIROSIS, NO ESPECIFICADA;4;Ambos
138;A280;PASTEURELOSIS;4;Ambos
139;A281;ENFERMEDAD POR RASGUÛO DE GATO;4;Ambos
140;A282;YERSINIOSIS EXTRAINTESTINAL;4;Ambos
141;A288;OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE;4;Ambos
142;A289;ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION;4;Ambos
143;A300;LEPRA INDETERMINADA;4;Ambos
144;A301;LEPRA TUBERCULOIDE;4;Ambos
145;A302;LEPRA TUBERCULOIDE LIMITROFE;4;Ambos
146;A303;LEPRA LIMITROFE;4;Ambos
147;A304;LEPRA LEPROMATOSA LIMITROFE;4;Ambos
148;A305;LEPRA LEPROMATOSA;4;Ambos
149;A308;OTRAS FORMAS DE LEPRA;4;Ambos
150;A309;LEPRA, NO ESPECIFICADA;4;Ambos
151;A310;INFECCIONES POR MICOBACTERIAS PULMONARES;4;Ambos
152;A311;INFECCION CUTANEA POR MICOBACTERIAS;4;Ambos
153;A318;OTRAS INFECCIONES POR MICOBACTERIAS;4;Ambos
154;A319;INFECCION POR MICOBACTERIA, NO ESPECIFICADA;4;Ambos
155;A320;LISTERIOSIS CUTANEA;4;Ambos
156;A321;MENINGITIS Y MENINGOENCEFALITIS LISTERIANA;4;Ambos
157;A327;SEPTICEMIA LISTERIANA;4;Ambos
158;A328;OTRAS FORMAS DE LISTERIOSIS;4;Ambos
159;A329;LISTERIOSIS, NO ESPECIFICADA;4;Ambos
160;A33;TETANOS NEONATAL;4;Ambos
161;A34;TETANOS OBSTETRICO;4;Ambos
162;A35;OTROS TETANOS;4;Ambos
163;A360;DIFTERIA FARINGEA;4;Ambos
164;A361;DIFTERIA NASOFARINGEA;4;Ambos
165;A362;DIFTERIA LARINGEA;4;Ambos
166;A363;DIFTERIA CUTANEA;4;Ambos
167;A368;OTRAS DIFTERIAS;4;Ambos
168;A369;DIFTERIA, NO ESPECIFICADA;4;Ambos
169;A370;TOS FERINA DEBIDA A BORDETELLA PERTUSSIS;4;Ambos
170;A371;TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS;4;Ambos
171;A378;TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA;4;Ambos
172;A379;TOS FERINA, NO ESPECIFICADA;4;Ambos
173;A38;ESCARLATINA;4;Ambos
174;A390;MENINGITIS MENINGOCOCICA (G01*);4;Ambos
175;A391;SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*);4;Ambos
176;A392;MENINGOCOCEMIA AGUDA;4;Ambos
177;A393;MENINGOCOCEMIA CRONICA;4;Ambos
178;A394;MENINGOCOCEMIA, NO ESPECIFICADA;4;Ambos
179;A395;ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO;4;Ambos
180;A398;OTRAS INFECCIONES MENINGOCOCICAS;4;Ambos
181;A399;INFECCION MENINGOCOCICA, NO ESPECIFICADA;4;Ambos
182;A400;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A;4;Ambos
